title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,year,url,Content Type
Building a business email compromise research dataset with large language models,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-024-00544-y,Rohit Dube,2025,https://link.springer.com/article/10.1007/s11416-024-00544-y,Article
A Novel Framework to Detect Business Email Compromise Through Unconsented Email Autoforwards,Advancements in Smart Computing and Information Security,,,,10.1007/978-3-031-59100-6_17,Priti KulkarniJatinderkumar R. Saini,2024,https://link.springer.com/chapter/10.1007/978-3-031-59100-6_17,Conference paper
Phishing Email Detection: Survey,Recent Trends and Advances in Artificial Intelligence,,,,10.1007/978-3-031-70924-1_42,Raweia S. MohamedAliRazn A. Abduhameed,2024,https://link.springer.com/chapter/10.1007/978-3-031-70924-1_42,Conference paper
Legal and ethical considerations when conducting phishing experiments in Germany,International Cybersecurity Law Review,,,,10.1365/s43439-025-00148-2,Robin StreiberDaniela Pöhn,2025,https://link.springer.com/article/10.1365/s43439-025-00148-2,Article
An Ontological Model of&#xa0;the&#xa0;Phishing Attack Process,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-031-95397-2_17,Ítalo OliveiraGerd WagnerGlenda AmaralTiago Prince SalesJan-Willem BulléeMarianne JungerDipti K. SarmahMaya DanevaGiancarlo Guizzardi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95397-2_17,Conference paper
Phishing Faster: Implementing ChatGPT into Phishing Campaigns,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 1",,,,10.1007/978-3-031-47454-5_13,Tyson LangfordBryson Payne,2023,https://link.springer.com/chapter/10.1007/978-3-031-47454-5_13,Conference paper
Eyes on phishing emails: an eye-tracking study,Journal of Experimental Criminology,,,,10.1007/s11292-024-09648-3,Liliana RibeiroInês Sousa GuedesCarla Sofia Cardoso,2024,https://link.springer.com/article/10.1007/s11292-024-09648-3,Article
Developing and implementing social engineering-prevention policies: a qualitative study,Security Journal,,,,10.1057/s41284-023-00385-2,Kevin F. SteinmetzThomas J. HoltChristopher G. Brewer,2023,https://link.springer.com/article/10.1057/s41284-023-00385-2,Article
A Contemporary Framework for Detection of Phishing Website for Cyber Societal Safety,SN Computer Science,,,,10.1007/s42979-025-03942-1,B. N. LakshmiB. K. DhanalakshmiK. Tharun Reddy,2025,https://link.springer.com/article/10.1007/s42979-025-03942-1,Article
Cacography based Ransomware Email Phishing Attack Prevention using Language Pack Tuned Transformer Language Model,Scientific Reports,,,,10.1038/s41598-025-06530-8,S. AbiramasundariV. Ramaswamy,2025,https://link.springer.com/article/10.1038/s41598-025-06530-8,Article
