title,publication,Book Series Title,Journal Volume,Journal Issue, doi,author,Publication Year,url,Content Type
Building a business email compromise research dataset with large language models,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-024-00544-y,Rohit Dube,2025,https://link.springer.com/article/10.1007/s11416-024-00544-y,Article
Business Email Compromise (BEC),Social Engineering und Human Hacking,,,,10.1007/978-3-662-69388-9_9,Erfan KozaAsiye ÖztürkMichael Willer,2024,https://link.springer.com/chapter/10.1007/978-3-662-69388-9_9,Chapter
A Comprehensive Review of Social Engineering on Maritime Cybersecurity,Maritime Cybersecurity,,,,10.1007/978-3-031-87290-7_10,Veera Senthil Kumar GanesanMihir Chandra,2025,https://link.springer.com/chapter/10.1007/978-3-031-87290-7_10,Chapter
A Novel Framework to Detect Business Email Compromise Through Unconsented Email Autoforwards,Advancements in Smart Computing and Information Security,,,,10.1007/978-3-031-59100-6_17,Priti KulkarniJatinderkumar R. Saini,2024,https://link.springer.com/chapter/10.1007/978-3-031-59100-6_17,Conference paper
Social Engineering: Exploiting Human Psychology,"Cybersecurity, Psychology and People Hacking",,,,10.1007/978-3-031-85994-6_7,Tarnveer Singh,2025,https://link.springer.com/chapter/10.1007/978-3-031-85994-6_7,Chapter
Phishing Email Detection: Survey,Recent Trends and Advances in Artificial Intelligence,,,,10.1007/978-3-031-70924-1_42,Raweia S. MohamedAliRazn A. Abduhameed,2024,https://link.springer.com/chapter/10.1007/978-3-031-70924-1_42,Conference paper
Crypto Phishing and Spoofing Scams,"The Cryptocurrency and Digital Asset Fraud Casebook, Volume II",,,,10.1007/978-3-031-60836-0_7,Jason Scharfman,2024,https://link.springer.com/chapter/10.1007/978-3-031-60836-0_7,Chapter
Phishing and Social Engineering in the Age of LLMs,Large Language Models in Cybersecurity,,,,10.1007/978-3-031-54827-7_8,Sean GallagherBen GelmanSalma TaoufiqTamás VörösYounghoo LeeAdarsh KyadigeSean Bergeron,2024,https://link.springer.com/chapter/10.1007/978-3-031-54827-7_8,Chapter
Legal and ethical considerations when conducting phishing experiments in Germany,International Cybersecurity Law Review,,,,10.1365/s43439-025-00148-2,Robin StreiberDaniela Pöhn,2025,https://link.springer.com/article/10.1365/s43439-025-00148-2,Article
Phishing Tactics and Techniques,How to Catch a Phish,,,,10.1007/978-1-4842-9361-4_2,Nicholas Oles,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9361-4_2,Chapter
An Ontological Model of&#xa0;the&#xa0;Phishing Attack Process,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-031-95397-2_17,Ítalo OliveiraGerd WagnerGlenda AmaralTiago Prince SalesJan-Willem BulléeMarianne JungerDipti K. SarmahMaya DanevaGiancarlo Guizzardi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95397-2_17,Conference paper
