title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,Publication Year,url,Content Type
Building a business email compromise research dataset with large language models,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-024-00544-y,Rohit Dube,2025,https://link.springer.com/article/10.1007/s11416-024-00544-y,Article
A Systematic Literature Review on the Impact of Cybersecurity Threats on Corporate Governance During the Covid-19 Era,Towards Digitally Transforming Accounting and Business Processes,,,,10.1007/978-3-031-46177-4_9,Gorejena NyashaLilian Ifunanya NwosuMakuena Clementina BerengCalvin MahlauleTlotlo Segotso,2024,https://link.springer.com/chapter/10.1007/978-3-031-46177-4_9,Conference paper
A Novel Framework to Detect Business Email Compromise Through Unconsented Email Autoforwards,Advancements in Smart Computing and Information Security,,,,10.1007/978-3-031-59100-6_17,Priti KulkarniJatinderkumar R. Saini,2024,https://link.springer.com/chapter/10.1007/978-3-031-59100-6_17,Conference paper
Cyberattacks on the Maritime Sector: A Literature Review,Journal of Marine Science and Application,,,,10.1007/s11804-024-00443-0,Steve SymesEddie Blanco-DavisTony GrahamJin WangEdward Shaw,2024,https://link.springer.com/article/10.1007/s11804-024-00443-0,Article
Comprehensive analytical review of cybercrime and cyber policy in West Africa,Journal of Electrical Systems and Information Technology,,,,10.1186/s43067-025-00216-x,Victor A. AdewopoSylvia Worlali AzumahMustapha Awinsongya YakubuEmmanuel Kojo GyamfiMurat OzerNelly Elsayed,2025,https://link.springer.com/article/10.1186/s43067-025-00216-x,Article
The Hidden Dangers of Publicly Accessible LLMs: A Case Study on Gab AI,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-89363-6_18,Lakshika VaishnavSakshi SinghKimberly A. Cornell,2025,https://link.springer.com/chapter/10.1007/978-3-031-89363-6_18,Conference paper
Cybersecurity Readiness Model Based on Human Factors,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10349-w,Yusuf Taoheed AbiodunSajjad MahmoodMahmood NiaziMohammad AlshayebAzzah A. AlGhamdi,2025,https://link.springer.com/article/10.1007/s13369-025-10349-w,Article
ZeSAI: AI vigilant malware detection in email security with zero shot-based hybrid network and threat intelligence integration,Journal of Combinatorial Optimization,,,,10.1007/s10878-025-01306-2,Venkadeshan RamalingamR. GopalSyed Ziaur RahmanR. Senthil,2025,https://link.springer.com/article/10.1007/s10878-025-01306-2,Article
Phishing and Social Engineering in the Age of LLMs,Large Language Models in Cybersecurity,,,,10.1007/978-3-031-54827-7_8,Sean GallagherBen GelmanSalma TaoufiqTamás VörösYounghoo LeeAdarsh KyadigeSean Bergeron,2024,https://link.springer.com/chapter/10.1007/978-3-031-54827-7_8,Chapter
Securing the remote office: reducing cyber risks to remote working through regular security awareness education campaigns,International Journal of Information Security,,,,10.1007/s10207-023-00809-5,Giddeon Njamngang AngaforIryna YevseyevaLeandros Maglaras,2024,https://link.springer.com/article/10.1007/s10207-023-00809-5,Article
The State of Data Breaches in the African Cyberspace: A Trend Analysis Using Social Media and Research Literature,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-81570-6_17,Jabu MtsweniMuyowa MutemwaMfundo MasangoSamson ChishiriSiwe Moyakhe,2025,https://link.springer.com/chapter/10.1007/978-3-031-81570-6_17,Conference paper
Emerging Phishing Attack Trends: A South African Case Study,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-81570-6_24,Jabu MtsweniPrecious MadumaVhuthu NefaleAlex RamantswanaMfundo MasangoMuyowa Mutemwa,2025,https://link.springer.com/chapter/10.1007/978-3-031-81570-6_24,Conference paper
Computational Approaches to Persuasion Detection and Potential of Use in Social Engineering,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 4",,,,10.1007/978-3-031-47448-4_30,Subia AnsariMohammad Zaiyan Alam,2023,https://link.springer.com/chapter/10.1007/978-3-031-47448-4_30,Conference paper
Cybersecurity Incidents in Relation to Fraudulent SIM Card Registration in Malawi,"Mathematical Modeling, Applied Analysis and Computational Methods",,,,10.1007/978-981-96-3460-6_12,Mangani D. KazembeSudeep VarshneyKeshav Gupta,2025,https://link.springer.com/chapter/10.1007/978-981-96-3460-6_12,Conference paper
The Power of Persuasion: Exploring Social Engineering in the Digital Age,Current and Future Trends on Intelligent Technology Adoption,,,,10.1007/978-3-031-61463-7_16,Rand K. AbdelhamidMahmoud Maqableh,2024,https://link.springer.com/chapter/10.1007/978-3-031-61463-7_16,Chapter
Cyber Crime in Nigeria—Reviewing the Problems,"Cybercrime, Digital Forensic Readiness, and Financial Crime Investigation in Nigeria",,,,10.1007/978-3-031-54089-9_2,Robinson Tombari SibeChristian Kaunert,2024,https://link.springer.com/chapter/10.1007/978-3-031-54089-9_2,Chapter
Background and Introduction,"Cybercrime, Digital Forensic Readiness, and Financial Crime Investigation in Nigeria",,,,10.1007/978-3-031-54089-9_1,Robinson Tombari SibeChristian Kaunert,2024,https://link.springer.com/chapter/10.1007/978-3-031-54089-9_1,Chapter
Analysis of Cybercrimes with Machine Learning Techniques,Proceedings of International Conference on Artificial Intelligence and Networks,,,,10.1007/978-981-96-2015-9_32,Anil V. TurukmaneD. Ramkumar,2025,https://link.springer.com/chapter/10.1007/978-981-96-2015-9_32,Conference paper
"Cyber insurance: state of the art, trends and future directions",International Journal of Information Security,,,,10.1007/s10207-023-00660-8,Aggeliki TsohouVasiliki DiamantopoulouStefanos GritzalisCostas Lambrinoudakis,2023,https://link.springer.com/article/10.1007/s10207-023-00660-8,Article
Review of&#xa0;Phishing Attacks’ Effects on&#xa0;AI-Powered IoT Systems,Innovations in Electrical and Electronic Engineering,,,,10.1007/978-981-99-8661-3_24,S. D. MohanaD. Rafiya NusrathS. P. Shiva PrakashKirill Krinkin,2024,https://link.springer.com/chapter/10.1007/978-981-99-8661-3_24,Conference paper
Securing Healthcare Systems: Modern Threats and Strategic Developments in Cybersecurity,Intelligent Computing and Communication,,,,10.1007/978-981-96-1267-3_27,M. Husain BathushawS. Nagasundaram,2025,https://link.springer.com/chapter/10.1007/978-981-96-1267-3_27,Conference paper
Identifying Key Issues to Enhance the Cybersecurity Awareness Strategy within Organizations,Proceedings of the 20th International Conference on Computing and Information Technology (IC2IT 2024),,,,10.1007/978-3-031-58561-6_1,Anawin Kaewsa-ardNattavee Utakrit,2024,https://link.springer.com/chapter/10.1007/978-3-031-58561-6_1,Conference paper
How do cybercriminals launder the proceeds of their crimes?,International Cybersecurity Law Review,,,,10.1365/s43439-023-00104-y,Fabian TeichmannSonia Boticiu,2023,https://link.springer.com/article/10.1365/s43439-023-00104-y,Article
Advancing cybersecurity: a comprehensive review of AI-driven detection techniques,Journal of Big Data,,,,10.1186/s40537-024-00957-y,Aya H. SalemSafaa M. AzzamO. E. EmamAmr A. Abohany,2024,https://link.springer.com/article/10.1186/s40537-024-00957-y,Article
Mouse Dynamics-Based Online Fraud Detection System for Online Education Platforms,Proceedings of Ninth International Congress on Information and Communication Technology,,,,10.1007/978-981-97-3302-6_21,Aditya SubashInsu SongIckjai LeeKyungmi Lee,2024,https://link.springer.com/chapter/10.1007/978-981-97-3302-6_21,Conference paper
Achieving Sustainable Development Goals in Cyber Security Using AIoT for Healthcare Application,Artificial Intelligence of Things for Achieving Sustainable Development Goals,,,,10.1007/978-3-031-53433-1_11,Meenu VijaraniaSwati GuptaAkshat AgrawalSanjay Misra,2024,https://link.springer.com/chapter/10.1007/978-3-031-53433-1_11,Chapter
